claim_id,claim_postal_code,claim_cause,claim_liable,claim_num_injured,claim_num_third_parties,claim_num_vehicles,claim_police,claim_language,claim_vehicle_id,claim_vehicle_brand,claim_vehicle_date_inuse,claim_vehicle_cyl,claim_vehicle_load,claim_vehicle_power,policy_holder_id,policy_holder_postal_code,policy_holder_form,policy_holder_year_birth,policy_holder_expert_id,driver_id,driver_postal_code,driver_year_birth,driver_expert_id,driver_vehicle_id,third_party_1_id,third_party_1_postal_code,third_party_1_vehicle_type,third_party_1_form,third_party_1_year_birth,third_party_1_vehicle_id,third_party_1_expert_id,third_party_2_id,third_party_2_postal_code,third_party_2_injured,third_party_2_vehicle_type,third_party_2_form,third_party_2_year_birth,third_party_2_country,third_party_2_vehicle_id,third_party_2_expert_id,repair_id,repair_postal_code,repair_form,repair_year_birth,repair_country,policy_date_start,policy_date_next_expiry,policy_date_last_renewed,policy_num_changes,policy_premium_100,policy_coverage_1000,policy_coverage_type,_third_party_3_withinfo,claim_date_interval,claim_date_occured_year,claim_date_occured_month,claim_hour_occured
10443,40,6,0,0,0,3,1,1.0,21183,18,76.0,1240.0,1.49,59.0,961,40.0,0,70.0,34,906,40.0,70.0,26,21189,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,60.0,0.0,0.0,3,10.0,10.0,15,,5,2017,1,
10445,29,0,0,0,0,2,0,2.0,20883,30,65.0,2967.0,2.86,155.0,20350,21.0,1,45.0,0,646,29.0,,0,20888,0,,0,0,,0,0,0,,0,0,0,,0,0,0,4110,23.0,2,,1,69.0,3.0,3.0,0,26.0,94.0,9,,1,2017,1,
10447,70,6,0,0,0,3,1,1.0,13098,2,104.0,1995.0,2.05,120.0,19785,70.0,0,31.0,1,18576,70.0,31.0,17,13099,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,111.0,9.0,9.0,0,14.0,37.0,18,,4,2017,1,
10684,62,1,0,0,0,3,1,1.0,8649,29,80.0,1968.0,1.92,100.0,7761,62.0,0,31.0,0,11477,62.0,28.0,32,8652,0,,0,0,,0,0,0,,0,0,0,,0,0,0,3069,17.0,2,,1,70.0,2.0,2.0,3,18.0,35.0,70,,4,2017,1,21.0
11195,30,1,0,0,0,3,1,2.0,25499,2,70.0,1995.0,2.06,100.0,4783,83.0,1,31.0,67,4530,83.0,31.0,52,25506,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,7.0,5.0,5.0,1,13.0,33.0,9,,3,2017,1,
11394,90,2,1,0,1,3,0,2.0,18954,10,142.0,2148.0,2.09,100.0,7692,90.0,1,27.0,0,7262,86.0,49.0,0,18956,16859,90.0,2,2,,22717,32,0,,0,0,0,,0,0,0,0,,0,,0,59.0,1.0,1.0,0,4.0,33.0,44,,7,2017,1,
11640,73,6,0,0,0,3,0,1.0,22323,18,50.0,1598.0,2.25,96.0,13548,76.0,0,40.0,1,12727,76.0,40.0,17,22328,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,15.0,9.0,9.0,0,13.0,31.0,24,,4,2017,1,23.0
11898,44,1,0,0,0,2,1,1.0,2837,10,47.0,1992.0,1.77,80.0,2563,44.0,1,47.0,34,2402,44.0,47.0,26,2838,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,,0,9.0,3.0,3.0,0,7.0,21.0,54,,0,2017,1,
11934,80,2,0,0,1,4,0,2.0,21546,27,164.0,2179.0,,94.0,18634,80.0,0,58.0,0,17502,80.0,58.0,0,21551,24759,80.0,2,2,,20824,0,0,,0,0,0,,0,0,0,4036,83.0,2,,1,51.0,9.0,9.0,0,3.0,,44,,5,2017,1,
11935,80,2,1,0,1,4,0,2.0,23836,4,83.0,1995.0,2.93,84.0,26247,88.0,1,56.0,0,23433,80.0,,3,23843,18412,80.0,2,1,58.0,18823,0,0,,0,0,0,,0,0,0,0,,0,,0,59.0,1.0,1.0,0,11.0,25.0,9,,5,2017,1,
