label,tweet_id,tweet_text
#vaccine,1383070154968469508,"Today I learned that the origin of the word vaccine is tied to the latin word cow, which is vacca. The reason for this is due to the first smallpox vaccine using the milder cowpox virus to innoculate people. #███████ #███████ #███████"
#covid,1383070489904484353,"Insights into webinar on ‘Reigniting Manufacturing Growth through MSME Development - Electrical and Electronic sector’.

#███████ #███████ #███████ #███████ #███████online #███████ #███████s #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ https://t.co/A2DcfIi6m2"
#covid,1383070410728562689,"#███████ #███████ tests #███████ for #███████-19; #███████ pray! #███████
#███████ #███████ServedJustice
#███████JusticeServed
#███████Trailer #███████review
Get Well Soon Sir
#███████fans
https://t.co/v5UrL8aGfZ"
#covid,1383070649103552512,"COVIDLandia: Wisdom, Loathing, and Lots of Netflix inside America's Potemkin Government #███████ #███████Book"
#vaccine,1383070957338832901,"Pennsylvania pauses use of Johnson &amp; Johnson vaccine

Full Story: https://t.co/DYkDr3in7M 
.
.
.
.
.
#███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████usamedia #███████ https://t.co/7QLHaZ8XmW"
#vaccine,1383070955275161601,"Did you catch us on @BBCOxford last night? Don't worry, you can catch it again here: https://t.co/6sWfa6fmzw and catch Tracy talking all about our fab work with having your vaccination
#███████ #███████ #███████ #███████ #███████thecommunicationcharity  #███████"
#vaccine,1383070906197561347,"Saturday-Sunday Two Days Lockdown in Gandhidham-Adipur 
#███████ #███████ #███████Curfew #███████ #███████ #███████ #███████ https://t.co/o2stJ9uGBM"
#vaccine,1383070871967911936,"What is a live-attenuated #███████? Learn more about the #███████s used to treat diseases including #███████, #███████, #███████, #███████ and #███████ https://t.co/QvkbpyMpT8
#███████ #███████ #███████ #███████ #███████ #███████ https://t.co/JLFi0hZf4f"
#vaccine,1383070688530075654,"If you count in the #███████ that #███████ according to International Law has to supply #███████ #███████ to, Israel's % would slip significantly...but it is always nice to test the 'herd immunity' with live participants, locked in to an outdoor jail. https://t.co/Dd9x1oTnAy"
#covid,1383071051043639300,"Many Incidences of #███████ in post-#███████ patients being reported by my Oral &amp; Maxillofacial surgeon colleagues leading to Partial or total removal of upper jaw !
If you have recovered from #███████19 and develop sudden mobility of teeth please visit ur #███████ asap !"
#biden,1383071265410453507,@QasimRashid Ok where is biden with his executive order to put a stop to cop execution. And what if there was a black legal gun owner there who then shoot the cop for commiting murder would he be arrested. Is it illegal to shoot a murderer ???? #███████ #███████ #███████ #███████ #███████
#china,1383071297878429704,"realme Q3 will get a variant with fluorescent ‘DARE TO LEAP’ logo

https://t.co/GRpHae66X0

#███████ #███████Q3 #███████ https://t.co/1PIlSFVly1"
#china,1383071273329250304,"You can now pay for your Spring Airlines plane tickets with digital RMB 🤑

#███████ #███████ #███████ 

https://t.co/izvqdALEUu"
#china,1383071740214046734,"Here's my take on dangers posed by China's tech companies and why we should be very wary of these enablers of surveillance state - from this week's @spectator @lukedepulford @BirlinnBooks  
#███████ #███████  #███████ #███████ #███████  https://t.co/xOrytjoIpB"
#stopasianhate,1383071912960557056,"The next step, @SenateGOP, @HouseGOP, @SenateDems, &amp; @HouseDemocrats is to take this moment &amp; come up with Legislation that will pass both Chamber of Congress. Please stay on subject &amp; come through for these outstanding members of society! #███████
https://t.co/4vkz0DFcK6"
