term,rank
vaccine,741
covid,592
people,547
say,381
china,353
need,321
new,307
like,286
world,280
day,273
india,260
year,250
time,249
know,240
country,240
may,232
help,230
first,229
case,228
vaccination,222
please,217
today,217
vaccinate,216
state,212
see,200
call,189
asian,183
still,181
news,177
stop,176
report,173
even,171
use,169
dose,160
give,160
test,152
let,152
work,152
right,149
would,149
home,148
mask,146
chinese,146
think,144
death,140
family,140
look,139
good,138
crime,136
pandemic,133
also,133
patient,133
many,132
health,131
government,131
april,130
start,130
president,130
shot,129
life,129
way,129
want,125
covid vaccine,125
show,125
hospital,124
big,124
well,123
age,120
back,120
virus,120
business,119
week,119
last,116
biden,115
stay,115
everyone,114
keep,113
number,112
cant,111
high,111
must,110
follow,109
change,108
end,108
talk,108
million,107
great,106
receive,105
spread,105
dos,103
share,103
free,103
issue,103
hate,101
potus,101
safe,100
support,100
thing,98
read,97
govt,97
available,95
community,95
could,94
fight,93
american,93
continue,92
ask,92
global,91
since,90
much,90
bad,87
policy,87
violence,87
narendramodi,87
die,86
positive,86
find,86
around,85
rise,85
allow,85
buy,84
month,84
second,83
thank,83
wait,82
group,82
plan,81
feel,81
old,81
open,81
control,81
risk,80
every,80
never,80
medium,79
really,79
lead,79
try,79
public,79
care,79
do,79
tell,79
put,78
due,78
war,78
watch,77
america,76
late,76
human,75
climate,75
better,75
racism,74
increase,74
full,73
force,73
happen,73
fully,73
situation,72
appointment,72
important,72
protect,72
kill,72
without,71
love,71
create,71
market,71
yet,71
minister,70
police,70
another,70
check,70
move,70
ontario,70
next,70
power,70
hope,70
link,69
include,69
question,69
mean,68
anyone,68
leader,67
update,67
post,67
cause,66
live,66
eligible,66
long,66
johnson,66
lot,65
learn,65
best,65
face,65
doesnt,65
rate,64
book,63
price,63
youre,63
record,63
soon,62
trump,62
friend,62
pmoindia,62
thanks,61
official,61
visit,60
data,60
far,60
school,60
city,59
story,59
video,59
decision,59
lockdown,59
real,59
crisis,59
border,59
part,59
name,58
population,58
joe,58
lie,58
service,58
foreign,58
drug,58
become,58
break,57
low,57
wave,57
supply,57
administration,57
top,56
hour,56
whats,56
company,56
side,56
future,56
party,56
woman,56
always,55
turn,55
canada,55
economic,55
man,55
believe,55
join,55
worker,55
blood,54
order,54
oxygen,54
place,54
lose,54
something,54
point,54
already,53
nothing,53
level,53
billion,53
wear,53
ever,53
travel,52
bed,52
recovery,52
attack,52
least,52
action,52
variant,52
citizen,52
article,52
fully vaccinate,52
provide,52
daily,52
set,52
system,52
nation,51
international,51
sure,51
wont,51
stand,51
reach,50
seem,50
others,50
begin,50
adult,50
covid vaccination,50
job,50
effect,50
drive,50
large,50
run,49
russia,49
interest,49
apr,49
per,49
child,49
white,48
save,48
united,48
accord,48
require,48
expect,48
deal,47
agree,47
announce,47
medical,47
hit,47
base,46
stay home,46
pfizer,46
jab,46
centre,46
vote,46
demand,46
list,46
half,46
matter,46
surge,46
across,46
add,45
doctor,45
team,45
retweet,45
study,45
student,45
indian,45
person,45
office,45
coronavirus,45
step,45
total,45
pay,45
abuse,45
behind,44
problem,44
safety,44
offer,44
national,44
possible,44
social,44
here,44
thought,44
shortage,44
tomorrow,44
investment,43
rollout,43
source,43
sign,43
expert,43
mass,43
black,43
challenge,43
someone,43
economy,43
hard,42
information,42
yes,42
instead,42
west,42
together,42
money,42
joebiden,42
fact,41
huge,41
enough,41
ago,41
he,41
guy,41
result,41
racist,41
restriction,40
away,40
head,40
effort,40
former,40
trade,40
military,40
finally,40
infection,40
law,40
act,40
meeting,39
everything,39
history,39
fall,39
election,39
fuck,39
line,39
youtube,39
left,39
tweet,39
focus,39
impact,39
access,39
hand,39
request,38
science,38
within,38
mohfwindia,38
target,38
development,38
freedom,38
reason,38
grow,38
recent,37
technology,37
whole,37
found,37
play,37
delhi,37
strong,37
chief,37
cannot,37
toronto,37
statement,37
justice,37
launch,37
word,37
able,37
answer,37
cost,37
event,36
listen,36
chance,36
send,36
member,36
pls,36
sell,36
major,36
phase,36
administer,35
else,35
fear,35
ban,35
amid,35
hold,35
ahead,35
bill,35
close,35
measure,35
course,35
normal,35
area,35
glass,35
unemployment,35
march,35
inflation,35
sir,35
past,35
true,34
kid,34
strategy,34
god,34
register,34
bidens,34
south,34
etc,34
usa,34
site,34
address,34
near,34
sale,34
yesterday,34
welcome,34
complete,34
raise,34
might,34
release,34
emergency,34
protest,34
stock,34
hate crime,34
trend,33
center,33
forward,33
remain,33
discus,33
refuse,33
politics,33
till,33
fail,33
there,33
effective,33
interview,33
resource,32
amaze,32
leadership,32
jamp,32
mask glass,32
mask glass wearer,32
push,32
threat,32
glass wearer,32
miss,32
wearer,32
key,32
happy,32
central,32
bring,32
trust,32
disease,32
view,32
concern,32
little,32
united state,32
please retweet,31
project,31
treat,31
violence unemployment,31
treatment,31
clot,31
ensure,31
test positive,31
remember,31
return,31
bjp,31
morning,31
told,31
trial,31
year old,31
cover,31
summit,31
evil,31
first dose,31
sunday,31
staff,31
response,31
water,31
consider,30
sputnik,30
local,30
fund,30
experience,30
product,30
import,30
production,30
almost,30
towards,30
network,30
monday,30
figure,30
decide,30
new case,30
game,30
theyre,30
anything,30
clinic,30
movement,30
fordnation,30
doubt,30
detail,30
campaign,30
export,30
digital,30
advice,30
tech,30
fake,29
violence asian,29
drop,29
critical,29
win,29
dose fully,29
review,29
comment,29
write,29
johnson johnson,29
despite,29
leave,29
dead,29
likely,29
wear mask,29
wish,29
eye,29
understand,29
protection,28
cooperation,28
cnn,28
racism violence asian,28
suffer,28
gain,28
press,28
platform,28
racism violence,28
side effect,28
contact,28
wrong,28
wonder,28
province,28
dose fully vaccinate,28
track,28
democracy,28
early,28
young,28
term,28
asia,28
meet,28
rally,28
pst,28
prime,28
actually,28
drharshvardhan,28
symptom,28
different,28
climate change,28
research,28
growth,27
benefit,27
forget,27
pst dose fully,27
pst dose,27
food,27
thousand,27
samerica,27
serious,27
responsible,27
humanity,27
form,27
house,27
apr pst,27
info,27
along,27
hear,27
clear,27
opening,27
body,27
online,27
rahulgandhi,27
weekend,27
special,27
apr pst dose,27
respect,27
cooperate,27
ppl,26
domestic,26
race,26
blood clot,26
congress,26
gonna,26
infect,26
antiasian,26
arm,26
five,26
manufacturer,26
stop racism,26
less,26
stop racism violence,26
opportunity,26
front,26
message,26
medicine,26
speak,26
democrat,26
night,26
admit,26
ready,26
saturday,26
reduce,26
pray,26
employee,25
secblinken,25
family business,25
energy,25
violence asian crime,25
financial,25
sense,25
rule,25
twitter,25
especially,25
force stay,25
force stay home,25
denies,25
deliver,25
mind,25
dear,25
moderna,25
rest,25
ill,25
tax,25
healthcare,25
home family business,25
related,25
asian crime,25
human right,25
commit,25
japan,25
home family,25
politician,24
justintrudeau,24
date,24
infrastructure,24
worry,24
worth,24
political,24
currency,24
court,24
shit,24
beyond,24
toronto ontario,24
prime minister,24
federal,24
promise,24
security,24
partner,24
distance,24
friday,24
living,24
priority,24
shoot,24
location,24
cdc,24
county,24
host,24
murder,24
shop,24
propaganda,24
build,24
facility,24
russia sputnik,23
business school,23
business school drug,23
nearly,23
district,23
super,23
troop,23
train,23
probably,23
drug abuse,23
safe available russia,23
bit,23
blame,23
industry,23
son,23
parent,23
safe available,23
ally,23
drug abuse violence,23
home home,23
verdict,23
abuse violence,23
abuse violence unemployment,23
progress,23
israel,23
family business school,23
model,23
second wave,23
available russia,23
available russia sputnik,23
management,23
several,23
small,23
avoid,23
home home family,23
walk,23
program,23
apply,23
bank,23
sick,23
school drug,23
school drug abuse,23
stay home home,23
denies safe available,23
denies safe,23
produce,22
joint,22
knew,22
oppose,22
arent,22
approve,22
governor,22
design,22
contract,22
hey,22
lift,22
senior,22
booster,22
prayer,22
prepare,22
mother,22
speech,22
app,22
modi,22
potential,22
currently,22
seek,22
card,22
stay safe,22
held,22
maybe,22
passport,22
role,22
photo,22
though,22
building,22
roll,21
mobile,21
immunity,21
evidence,21
reporting,21
single,21
capacity,21
expand,21
sector,21
common,21
resident,21
present,21
approach,21
three,21
later,21
region,21
curb,21
touch,21
shut,21
solution,21
entire,21
among,21
please help,21
dangerous,21
episode,21
negative,21
japanese,21
pressure,21
harris,21
warn,20
attempt,20
awareness,20
moment,20
red,20
corona,20
disaster,20
thread,20
profit,20
beijing,20
imagine,20
practice,20
pass,20
paper,20
relation,20
fauci,20
flu,20
destroy,20
tiri,20
covid case,20
whitehouse,20
alternative,20
schedule,20
republican,20
condition,20
compare,20
look like,20
celebrate,20
afghanistan,20
longer,19
pakistan,19
brand,19
process,19
prevent,19
announcement,19
light,19
decade,19
sorry,19
ramp,19
nurse,19
encourage,19
goal,19
guideline,19
inu,19
store,19
prove,19
alert,19
current,19
minute,19
hell,19
myanmar,19
kind,19
class,19
yr,19
tiri inu,19
covid patient,19
opinion,19
plasma,19
western,19
genocide,19
folk,19
mrna,19
receive least,19
green,19
period,19
illegal,19
shift,19
ignore,19
everyone age,19
rather,19
publish,19
carry,19
anymore,18
river,18
european,18
position,18
canada denies safe,18
aim,18
volunteer,18
bitcoin,18
life canada,18
land,18
website,18
unemployment life,18
third,18
canada denies,18
washington,18
communist,18
