label,tweet_id,tweet_text
#vaccine,1.38E+18,"Today I learned that the origin of the word vaccine is tied to the latin word cow, which is vacca. The reason for this is due to the first smallpox vaccine using the milder cowpox virus to innoculate people. #███████ #███████ #███████"
#covid,1.38E+18,"Insights into webinar on ‘Reigniting Manufacturing Growth through MSME Development - Electrical and Electronic sector’.

#███████ #███████ #███████ #███████ #███████online #███████ #███████s #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ https://t.co/A2DcfIi6m2"
#covid,1.38E+18,"#███████ #███████ tests #███████ for #███████-19; #███████ pray! #███████
#███████ #███████ServedJustice
#███████JusticeServed
#███████Trailer #███████review
Get Well Soon Sir
#███████fans
https://t.co/v5UrL8aGfZ"
#covid,1.38E+18,"COVIDLandia: Wisdom, Loathing, and Lots of Netflix inside America's Potemkin Government #███████ #███████Book"
#vaccine,1.38E+18,"Pennsylvania pauses use of Johnson &amp; Johnson vaccine

Full Story: https://t.co/DYkDr3in7M 
.
.
.
.
.
#███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████usamedia #███████ https://t.co/7QLHaZ8XmW"
#vaccine,1.38E+18,"Did you catch us on @BBCOxford last night? Don't worry, you can catch it again here: https://t.co/6sWfa6fmzw and catch Tracy talking all about our fab work with having your vaccination
#███████ #███████ #███████ #███████ #███████thecommunicationcharity  #███████"
#vaccine,1.38E+18,"Saturday-Sunday Two Days Lockdown in Gandhidham-Adipur 
#███████ #███████ #███████Curfew #███████ #███████ #███████ #███████ https://t.co/o2stJ9uGBM"
#vaccine,1.38E+18,"What is a live-attenuated #███████? Learn more about the #███████s used to treat diseases including #███████, #███████, #███████, #███████ and #███████ https://t.co/QvkbpyMpT8
#███████ #███████ #███████ #███████ #███████ #███████ https://t.co/JLFi0hZf4f"
#vaccine,1.38E+18,"If you count in the #███████ that #███████ according to International Law has to supply #███████ #███████ to, Israel's % would slip significantly...but it is always nice to test the 'herd immunity' with live participants, locked in to an outdoor jail. https://t.co/Dd9x1oTnAy"
#covid,1.38E+18,"Many Incidences of #███████ in post-#███████ patients being reported by my Oral &amp; Maxillofacial surgeon colleagues leading to Partial or total removal of upper jaw !
If you have recovered from #███████19 and develop sudden mobility of teeth please visit ur #███████ asap !"
#biden,1.38E+18,@QasimRashid Ok where is biden with his executive order to put a stop to cop execution. And what if there was a black legal gun owner there who then shoot the cop for commiting murder would he be arrested. Is it illegal to shoot a murderer ???? #███████ #███████ #███████ #███████ #███████
#china,1.38E+18,"realme Q3 will get a variant with fluorescent ‘DARE TO LEAP’ logo

https://t.co/GRpHae66X0

#███████ #███████Q3 #███████ https://t.co/1PIlSFVly1"
#china,1.38E+18,"You can now pay for your Spring Airlines plane tickets with digital RMB ??

#███████ #███████ #███████ 

https://t.co/izvqdALEUu"
#china,1.38E+18,"Here's my take on dangers posed by China's tech companies and why we should be very wary of these enablers of surveillance state - from this week's @spectator @lukedepulford @BirlinnBooks  
#███████ #███████  #███████ #███████ #███████  https://t.co/xOrytjoIpB"
#stopasianhate,1.38E+18,"The next step, @SenateGOP, @HouseGOP, @SenateDems, &amp; @HouseDemocrats is to take this moment &amp; come up with Legislation that will pass both Chamber of Congress. Please stay on subject &amp; come through for these outstanding members of society! #███████
https://t.co/4vkz0DFcK6"
#stopasianhate,1.38E+18,"Victims of anti-Asian hate have access to free legal services from prominent lawyers of Asian descent.   If you have a complaint, there are links at the end of attached article that will help you make contact. #███████ #███████ #███████Crimes https://t.co/4v0qTqImgm"
#covid,1.38E+18,"@ZeeNewsSports @ZeeNews Our Modi Goverment is responsible for #███████ spread in India, they are not allowing Vaccination to the most exposed citizen like me. India is the country of Youngster with big population,  but no Vaccine for us."
#china,1.38E+18,Photos show vibrant night life reviving in north #███████'s #███████. https://t.co/Px93yuOxGs
#china,1.38E+18,"#███████-#███████ Science &amp; Technology Daily runs article on Israel’s technologies for sustainable use of water, written by Israel MFA Special Envoy for #███████ change and special envoy for #███████ affairs. #███████ https://t.co/LeYqaAhd1C"
#china,1.38E+18,"I'm not complaining about this but rather, I lament the rapid reflection of the impact of #███████'s ongoing campaign to tighten control in #███████. To some extent, it has worked well from #███████'s perspective, but from the other perspective, it has also ..."
#china,1.38E+18,"???? - #███████ is willing to strengthen cooperation with France and Germany to cope with climate change, President Xi Jinping told his #███████ counterpart Emmanuel #███████ and German Chancellor Angela #███████, Chinese state media reported on Friday. (Reuters)"
#china,1.38E+18,"In the midst of a global chip shortage, how did #███████ come to dominate chipmaking and how are the United States and #███████ responding? @CNBC #███████ #███████  https://t.co/dumJJQXX2I"
#china,1.38E+18,"China’s high stakes engagement with Iran: A strategic partnership deal will raise alarm in Washington
https://t.co/m4XsDFhPtG
The #███████-#███████ 25-year deal could be a new source of instability just as America is poised to end its ‘forever wars’ in the region https://t.co/camuJHAgsI"
#china,1.38E+18,#███████| Don’t Write Off #███████’s Vaccines — the World Needs Them https://t.co/aGHU6Jv64K
#china,1.38E+18,Italian Expat Living in China - Interview with Chiara https://t.co/Rdi2tPooLm @ChiarasCoffeeT #███████ #███████ #███████
#china,1.38E+18,"New Ambassador of China to Botswana &amp; Representative to #███████, H.E. Amb Wang Xuefeng today presented Letters of Credence to #███████ Executive Secretary @DrTaxs with a renewed commitment to forge a  mutually beneficial friendship &amp; cooperation between #███████ &amp; #███████ @BWGovernment https://t.co/JErRTCPGdj"
#china,1.38E+18,"@BBCWorld #███████ punishes people for speaking out. No doubt, it has become a part of #███████!
#███████"
#china,1.38E+18,48. #███████ &amp; #███████: can #███████’s dominance be challenged? - Redefining #███████ #███████ https://t.co/kBS09GuCDv https://t.co/QmivEyGo3i
#china,1.38E+18,"can we say bye bye #███████ balloon? 

then welcome back future coin?? #███████ #███████ #███████
 #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ #███████ 
just hold guys, build your future, 3-5 cents cant build your future. strong hold!!"
#china,1.38E+18,"@ronmortgageguy Also great Thread from @StephenMcDonell ""group of high profile #███████ pro-democracy activist leaders have just been sentenced. #███████...""

?????? https://t.co/lXSS6FFhWH"
#china,1.38E+18,"""Hungary's argument was that the #███████ already has too many issues with #███████"" ??????????
 - https://t.co/vc5V2ZUS2R"
#china,1.38E+18,"Hong Kong pro-democracy media tycoon Jimmy Lai has been sentenced to 14 months in prison after being found guilty of unauthorised assembly. @BBCWorld  #███████ #███████ #███████  #███████  For more news, visit https://t.co/GLS1Jm1aZ6 https://t.co/TdeUslaphH"
#stopasianhate,1.38E+18,"In an article for @ConversationCA, @RyersonFCAD prof. @ChenSibo and other Asian Canadian scholars write about #███████’s history of anti-Asian #███████, the contemporary experience and how fighting to #███████ means fighting against any form of racism. https://t.co/ZfmsTjl73p https://t.co/GUZIqyJ4cK"
#stopasianhate,1.38E+18,"#███████ #███████
#███████ #███████  #███████ - oh and btw .. #███████ = ?????? https://t.co/U3PzYWLA49"
#covid,1.38E+18,"The Biden administration is investing more than $4 billion to combat #███████-19 in Indian Country.

The money from the #███████ will to towards vaccinations, testing and reimbursements for tribal and urban Indian health providers. #███████ 

https://t.co/Y8ZxYcPlAk"
#covid,1.38E+18,"In view of rising cases of #███████, Election Commission bans campaigning from 7 PM to 10 AM on all days when it is allowed; Also extends silence period to 72 hours before polling for remaining phases of #███████ 

#███████"
