term,rank
vaccine,128.14112620162004
covid,107.46459059753
people,91.68098850906753
say,75.67708630275294
china,73.1231280495402
new,67.21322787005276
need,63.60732173671488
like,60.017959305007615
world,59.55779992777425
day,57.40351492855194
india,54.8342222096303
today,53.468939922393986
year,53.1549714417708
know,52.62005106840266
time,52.150658051284346
may,51.810652277513476
vaccinate,51.2705072042453
please,51.257273818908274
first,51.000748072905424
help,50.520311566288875
country,49.80621155599088
vaccination,48.926706748035144
case,47.99549703386436
news,46.494005723828636
see,46.09194330287488
call,44.02524163787824
stop,43.24578147421331
state,42.29191464161972
let,40.53298686579091
asian,40.486959328851654
still,38.644950012306396
dose,38.427125496729694
use,37.83206203684828
right,37.79526426871104
good,37.29800422221709
report,36.73719670856275
shot,36.08214982803378
give,35.92514276416297
work,35.662578637657695
chinese,35.653017278596074
would,35.64302318057753
think,35.6220377606963
even,35.343346183745375
mask,35.307858737810236
want,34.17189089767276
test,34.14999502848183
look,34.12491864669466
death,33.969366966024786
crime,32.87222569387925
covid vaccine,32.66053451287078
april,32.1878704339659
pandemic,32.056676993814
president,31.62727090437855
show,31.563699813859856
virus,30.992420151691647
also,30.857707602435976
week,30.481483625533727
patient,30.42525014435739
government,30.41088274515388
many,30.085444976516698
start,29.866123408406764
way,29.713443010952165
free,29.600301284032142
follow,29.507549550066884
everyone,29.24275217924472
great,28.825011630855567
hospital,28.68084671427343
age,28.451905703362524
well,28.385983547722248
health,28.341430806199337
biden,28.332029172889804
back,28.09822309796736
change,27.825747997946554
big,27.581870777524763
family,27.532500462445935
home,27.083743770029464
talk,27.019827478996284
life,26.958442117421214
number,26.939010541763803
cant,26.803613235900812
read,26.77610324559458
keep,26.715546165496985
last,26.263870981675403
million,26.239059584242383
buy,26.183646390770715
must,26.153744704072324
share,26.084325532662785
support,25.796365093810568
potus,25.704405166778642
high,25.46523966959886
thing,25.41104584636817
end,25.13134246828101
thank,24.96904178565364
receive,24.837810043629272
spread,24.799823800062114
issue,24.200444093869812
american,24.128979635697046
dos,23.9674875844713
could,23.87057295774346
fight,23.821763728364164
continue,23.65040830526619
hate,23.5746172325721
bad,23.336881797474696
stay,23.336154841604095
second,23.015094944285938
do,22.889820571289917
late,22.8164631178842
available,22.7582964871495
global,22.75542208109797
community,22.720614150059937
business,22.664642045743864
link,22.451199186394145
govt,22.44796502262146
die,22.08089961954859
check,21.896344247560407
policy,21.84927502851427
feel,21.829684649908756
find,21.774753505165968
care,21.766219780787754
positive,21.69463379660811
watch,21.660401133550014
ask,21.605428843035536
control,21.59600874107598
since,21.568871683132507
really,21.408495262461198
safe,21.39201063903292
racism,21.367436179825297
lead,21.35744048785597
america,21.3539707259584
allow,21.337542084259635
war,21.322798650811748
much,21.203591022481216
live,21.157429016711554
due,21.09885458310329
happen,21.04469826355463
put,21.025298030295634
rise,20.983651408012197
love,20.916627500326495
plan,20.880940880226248
never,20.777903769933303
open,20.703792260527578
narendramodi,20.64738945311952
another,20.61761896157606
better,20.506820180346537
old,20.498754780129527
wait,20.387780609294676
month,20.371114171107024
next,20.366312125319997
yet,20.345821942581345
around,20.291371499518544
thanks,20.237950170034384
try,20.157047345131023
group,20.153192833470353
risk,20.13303544205335
without,20.018355151844496
best,19.949188761200006
medium,19.944326242322372
appointment,19.88599429120294
book,19.7265861391431
increase,19.623176473447188
important,19.59574525048481
protect,19.542308871437033
tell,19.41960159381843
lockdown,19.40020056143492
youre,19.389372224030552
create,19.308799440349077
climate,19.233397777908902
hope,19.2220123778085
public,19.20842596753173
learn,19.170869124450487
post,19.16544432757126
fully,19.058825419252525
mean,19.038513889966378
human,18.949180577142037
kill,18.922675018508325
full,18.89765895811057
include,18.79539378623988
market,18.69372754497004
update,18.691422524676778
move,18.468289970143474
every,18.421898063864738
face,18.369189089344673
cause,18.224859327478278
power,18.195274888846118
violence,18.11184240533812
soon,17.881179747702987
border,17.82657102203714
price,17.753154974103524
crisis,17.684757648317905
part,17.682410369956127
question,17.634799723839166
anyone,17.561058790656062
lot,17.538730322672148
visit,17.37246873914367
real,17.367080000273727
eligible,17.358603133679782
doesnt,17.311743809761587
turn,17.213251329055925
johnson,17.161421041035098
friend,17.153512715315472
story,17.151340938416787
daily,17.00801165996524
video,16.945123442486885
leader,16.90090863130468
official,16.811858303069318
rate,16.709610063391743
already,16.69921567675407
city,16.526445732937376
situation,16.451397672316524
stand,16.34821204179895
believe,16.32379227642704
whats,16.271681108622573
administration,16.26548289036884
minister,16.2501980852948
nation,16.06435085717224
join,16.05834347777129
name,16.025023432064394
lie,15.98501464987031
something,15.97381297137885
trump,15.967193037000715
record,15.963350953797896
police,15.90661042758951
decision,15.8469809054979
data,15.830570071492577
job,15.821688770463265
youtube,15.818431910284694
future,15.81735582052386
man,15.764137274872171
joe,15.71582521149465
far,15.698441401831511
wave,15.673844360213126
here,15.556789756397006
always,15.552333476935363
action,15.521958478989536
woman,15.499092568363906
side,15.453568247203336
long,15.441546930603778
retweet,15.429261185833843
force,15.427333707869773
population,15.371662402960263
agree,15.363940996075785
break,15.357238323499342
become,15.250414073420119
low,15.16610506512475
company,15.106444257250477
set,15.101570026629618
billion,15.082746394500017
sure,15.078330158423782
wear,15.071715381052119
point,14.996061247466512
travel,14.906703786129818
foreign,14.901745394220802
reach,14.893160734602743
recovery,14.862634445349338
drive,14.850222615160744
others,14.819751117656095
party,14.801700139142405
seem,14.799991266751533
pmoindia,14.738661963180933
begin,14.662580528752045
wont,14.619878795966704
service,14.607610911617684
expect,14.598406322245607
article,14.495952352651425
bed,14.463402236510689
united,14.435352191015992
economic,14.421922710773146
citizen,14.421922500438871
nothing,14.420578470179871
ontario,14.381350959497356
attack,14.34992009141631
study,14.343579973328891
fuck,14.327707147273758
place,14.313350698926739
international,14.267448347658421
white,14.201518136282731
yes,14.197517935140118
top,14.1891224816811
finally,14.138825024269659
supply,14.137521347707734
ever,14.133634057696838
jab,14.114383510434976
guy,14.044325400755508
hour,14.042565279832344
oxygen,14.023871911547358
lose,14.019639469630773
sign,14.014637138616282
adult,14.007007601783231
effect,13.98698061879828
fully vaccinate,13.872128389218597
worker,13.872115843965204
least,13.82872583514562
variant,13.824010382040921
pay,13.815731383115816
large,13.796694480113985
challenge,13.78602250727991
hit,13.783443503259823
vote,13.767225025082265
child,13.755271109956999
together,13.739242566957033
centre,13.73595187702086
possible,13.714132800407237
matter,13.599080581219136
provide,13.598415794839887
shortage,13.562440163510134
list,13.559823844319949
order,13.508275488293576
blood,13.46576671007544
someone,13.457393800383958
coronavirus,13.399657714132038
level,13.358724800842968
team,13.355269873362033
instead,13.316649567221654
medical,13.314837718464567
apr,13.29830290513238
person,13.290801524157981
true,13.287168921798933
add,13.18697921387174
system,13.179506423142387
school,13.179089913355721
tomorrow,13.17784373238282
require,13.14381134972322
behind,13.122646740674233
base,13.084313907027893
save,13.04119655630427
indian,12.997738107173495
offer,12.99184268289165
step,12.96734202930743
student,12.958081606171255
interest,12.954476984986684
rollout,12.9415309749703
covid vaccination,12.916865023927386
deal,12.849904639395048
announce,12.849623752796086
run,12.835535099941913
across,12.80580885191053
information,12.792194933182254
black,12.781304190014136
pfizer,12.736025873777434
surge,12.702909899877547
per,12.615495952057984
reason,12.608631244259316
joebiden,12.60779509826678
glass,12.546854133189338
accord,12.488956941700732
source,12.444365279405636
racist,12.43961085629597
doctor,12.436270127776536
thought,12.421748966249966
resource,12.394387586436077
line,12.366585618992055
restriction,12.3183260202044
meeting,12.298756031910742
problem,12.287971390895173
science,12.244592443723421
fall,12.192748687238655
word,12.178339815143126
hand,12.162949411705698
fact,12.106453986754198
money,12.053279827344184
away,12.027415622892342
enough,11.971329489194897
office,11.949682674723697
wearer,11.86998672438875
mask glass,11.86998672438875
glass wearer,11.86998672438875
mask glass wearer,11.86998672438875
demand,11.85689874476476
act,11.8498637269712
national,11.849217589121112
impact,11.82229453903072
please retweet,11.761992646282739
cost,11.759744314570268
trade,11.752755898886281
tweet,11.724391082237382
head,11.70264926324853
ahead,11.675163657919922
hard,11.652719457466334
former,11.622517278112984
launch,11.609832916231058
investment,11.598015082190035
expert,11.587286288403709
hold,11.582233286647284
huge,11.572309154244204
he,11.564731482327595
social,11.535816428972094
result,11.514508271354515
target,11.501545178670233
infection,11.495447872699824
half,11.488568153470897
play,11.443276566810537
happy,11.427696900090487
law,11.41830121400804
listen,11.413290642811011
inflation,11.369668291894845
delhi,11.286791994182426
economy,11.279491599179252
answer,11.260872187629081
everything,11.233344516960994
technology,11.15476923047344
effort,11.109577142648655
protest,11.086748111447799
trial,11.070614836901143
focus,11.06913973771673
election,11.06736147682783
interview,11.064150207066772
welcome,11.051067068222244
military,10.985138225039634
history,10.98204960404446
grow,10.965939701714062
kid,10.9564051831991
else,10.955120660946502
major,10.95392945528364
amid,10.922254832191777
member,10.911885642683302
cannot,10.88567625459328
total,10.874144050138586
able,10.857875368300414
tech,10.83590646298622
strong,10.795411847270719
mass,10.730347020957666
event,10.717774046833288
register,10.685249050311416
south,10.66479906240075
found,10.661298122220753
recent,10.639186543341301
access,10.621499006381377
within,10.579953197153806
phase,10.558984846412576
safety,10.556246053178334
drug,10.544564639124955
pls,10.513471044907657
sell,10.484330130066892
refuse,10.460798083544596
address,10.387211346263038
chance,10.354691508620066
morning,10.34478583505877
normal,10.334196043619142
discus,10.311737385191053
ban,10.30709057124605
statement,10.288451871457339
response,10.270259138754023
sale,10.261632473977357
first dose,10.223023116363077
left,10.18536390229116
west,10.18164668405161
yesterday,10.15649212413355
bidens,10.14855431179913
view,10.137289609144899
site,10.130590539221256
course,10.12529396369117
miss,10.12147425212723
canada,10.118903300659424
might,10.108315615025713
win,10.080460368424616
complete,10.069820983417687
whole,10.065741570086912
stock,10.049973806797993
measure,10.049474765509695
administer,10.044944397757968
fear,10.024470258020589
bill,10.009359474260144
little,9.999323889124106
raise,9.987465123133449
past,9.983424290121125
jamp,9.975822962581686
request,9.968458425998527
mohfwindia,9.959754838068692
chief,9.952619618347008
special,9.927301359045678
close,9.890077386744576
import,9.876260989969802
effective,9.87092931782013
drop,9.864209722187436
freedom,9.861765198111568
game,9.837970394256057
protection,9.821524186857799
disease,9.789754510366707
treatment,9.780587109671199
area,9.752846534089262
return,9.740648953345074
march,9.731779174345474
meet,9.731428579065854
center,9.716659431054751
russia,9.716300121198186
release,9.67472892326409
politics,9.672905029380058
concern,9.669797683278151
theyre,9.657812976955597
bring,9.655388363007553
strategy,9.6522608846391
united state,9.644044987307426
god,9.640543286952237
consider,9.629664537144583
there,9.626746788398364
forward,9.623090058181054
etc,9.621177132269906
emergency,9.619285681956843
summit,9.613422217489802
trust,9.596455837264966
dead,9.572612199798737
sir,9.546101620391422
weekend,9.53333521777013
clinic,9.533132686378753
review,9.531778733470313
trend,9.527134823025122
usa,9.505830204970097
amaze,9.505582381017486
campaign,9.468613248187403
speak,9.449226244301451
detail,9.447883761403057
cooperation,9.427675938017714
anything,9.426091719462711
comment,9.419197597334303
near,9.398499908114701
remember,9.392214694043174
monday,9.383834488338564
key,9.369681557644858
cover,9.337644784495458
humanity,9.336080064770563
product,9.32711738546438
ago,9.302537054602231
digital,9.217456103857183
race,9.203587201876038
congress,9.190995873046502
actually,9.186245961048188
remain,9.180507465853305
rally,9.170939672116631
ready,9.15434866878101
almost,9.152293965200721
water,9.140391360591389
wrong,9.122414873554519
central,9.110544986994002
leave,9.080469893225812
house,9.071007187807718
wonder,9.066476470679762
clear,9.053892247420903
production,9.04570699507085
wish,9.017984126190033
local,9.012429166380688
hate crime,8.984392063268304
test positive,8.97260024807528
fail,8.952572002505491
samerica,8.922360456940707
violence asian,8.921307696913775
advice,8.913266550788872
network,8.911995913226885
rule,8.907682353181793
contact,8.906105386125796
wear mask,8.90286824043759
justice,8.89002595919736
sense,8.88568797557706
project,8.881963647139107
term,8.865159834675875
push,8.862409975740343
threat,8.860592011658698
understand,8.853340195220092
cooperate,8.852795341659712
fordnation,8.851574868074328
side effect,8.816892023638069
year old,8.811686897114337
card,8.797288052099868
food,8.781393269487523
export,8.780094386721542
sunday,8.776000546433995
towards,8.769278715145449
treat,8.755978142518947
figure,8.75497040429331
worth,8.751850696619002
till,8.737234564053415
fund,8.714918630397547
racism violence,8.712760543271209
racism violence asian,8.712760543271209
staff,8.665562973505505
likely,8.66394978627754
arm,8.63521969376606
clot,8.631118700245182
hear,8.628782669672633
online,8.62041816743317
opening,8.545840711417135
benefit,8.534327408560838
eye,8.530193138863071
night,8.516138819575792
mind,8.513791143367571
development,8.51314318959411
suffer,8.473626313349564
ensure,8.468847535522302
harris,8.463905413009734
early,8.44685820007048
democrat,8.42082368812944
moderna,8.417870857624042
write,8.415294636568667
info,8.40188123306396
photo,8.332910438794
rahulgandhi,8.33011190746462
cnn,8.292832833430563
healthcare,8.281717860692524
experience,8.274085144779493
research,8.271654083266041
opportunity,8.239548691641298
abuse,8.228677914583702
medicine,8.202384661772948
province,8.199321062130508
prime,8.195710405500886
young,8.186442692372058
dose fully,8.181458954174387
gain,8.172731061123567
domestic,8.157391274503698
stop racism,8.14018932171961
